Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
2,2,3,10.0,1,5,80,147.34,Greenland,Greenland-1.0,Greenland-975.0
2,2,3,10.0,1,5,80,147.34,Greenland,Greenland-1.0,Greenland-975.0
2,2,3,10.0,1,5,80,147.34,Greenland,Greenland-1.0,Greenland-975.0
3,2,3,10.0,1,5,74,139.41,Greenland,Greenland-1.0,Greenland-975.0
3,2,3,10.0,1,5,74,139.41,Greenland,Greenland-1.0,Greenland-975.0
3,2,3,10.0,1,5,74,139.41,Greenland,Greenland-1.0,Greenland-975.0
4,2,3,10.0,1,5,72,134.72,Greenland,Greenland-1.0,Greenland-975.0
4,2,3,10.0,1,5,72,134.72,Greenland,Greenland-1.0,Greenland-975.0
4,2,3,10.0,1,5,72,134.72,Greenland,Greenland-1.0,Greenland-975.0
0,3,1,11.0,1,11,63,694.15,Greenland,Greenland-1.0,Greenland-975.0
0,3,1,15.0,2,11,63,694.15,Sahel East; Central Africa,Sahel East; Central Africa-1.0; 2.0,Sahel East; Central Africa-0.0; 500.0
0,3,1,15.0,2,11,63,694.15,Sahel East; Central Africa,Sahel East; Central Africa-1.0; 2.0,Sahel East; Central Africa-0.0; 500.0
0,3,1,15.0,2,11,63,694.15,Sahel East; Central Africa,Sahel East; Central Africa-1.0; 2.0,Sahel East; Central Africa-0.0; 500.0
0,3,1,15.0,2,11,63,694.15,Sahel East; Central Africa,Sahel East; Central Africa-1.0; 2.0,Sahel East; Central Africa-0.0; 500.0
0,3,1,15.0,2,11,63,694.15,Sahel East; Central Africa,Sahel East; Central Africa-1.0; 2.0,Sahel East; Central Africa-0.0; 500.0
0,3,1,11.0,1,11,63,694.15,Greenland,Greenland-1.0,Greenland-975.0
0,3,1,15.0,2,11,63,694.15,Central Africa; Sahel East,Central Africa; Sahel East-2.0; 1.0,Central Africa; Sahel East-500.0; 0.0
0,3,1,11.0,1,11,63,694.15,Greenland,Greenland-1.0,Greenland-975.0
1,3,1,11.0,1,12,64,632.62,Greenland,Greenland-1.0,Greenland-975.0
1,3,1,15.0,2,12,64,632.62,Sahel East; Central Africa,Sahel East; Central Africa-1.0; 2.0,Sahel East; Central Africa-0.0; 500.0
1,3,1,15.0,2,12,64,632.62,Central Africa; Sahel East,Central Africa; Sahel East-2.0; 1.0,Central Africa; Sahel East-500.0; 0.0
1,3,1,15.0,2,12,64,632.62,Central Africa; Sahel East,Central Africa; Sahel East-2.0; 1.0,Central Africa; Sahel East-500.0; 0.0
1,3,1,11.0,1,12,64,632.62,Greenland,Greenland-1.0,Greenland-975.0
1,3,1,15.0,2,12,64,632.62,Central Africa; Sahel East,Central Africa; Sahel East-2.0; 1.0,Central Africa; Sahel East-500.0; 0.0
1,3,1,15.0,2,12,64,632.62,Central Africa; Sahel East,Central Africa; Sahel East-2.0; 1.0,Central Africa; Sahel East-500.0; 0.0
1,3,1,11.0,1,12,64,632.62,Greenland,Greenland-1.0,Greenland-975.0
1,3,1,15.0,2,12,64,632.62,Central Africa; Sahel East,Central Africa; Sahel East-2.0; 1.0,Central Africa; Sahel East-500.0; 0.0
1,3,1,11.0,1,12,64,632.62,Greenland,Greenland-1.0,Greenland-975.0
0,3,2,13.0,2,12,76,95.21,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
0,3,2,13.0,2,12,76,95.21,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
0,3,2,13.0,2,12,76,95.21,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
0,3,2,13.0,2,12,76,95.21,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
0,3,2,13.0,2,12,76,95.21,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
0,3,2,13.0,2,12,76,95.21,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
1,3,2,13.0,2,15,66,98.98,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
1,3,2,13.0,2,15,66,98.98,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
1,3,2,13.0,2,15,66,98.98,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
1,3,2,13.0,2,15,66,98.98,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
1,3,2,13.0,2,15,66,98.98,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
1,3,2,13.0,2,15,66,98.98,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
2,3,2,13.0,2,14,65,116.04,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
2,3,2,13.0,2,14,65,116.04,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
2,3,2,13.0,2,14,65,116.04,Qatar and Bahrain; Iraq and Kuwait,Qatar and Bahrain; Iraq and Kuwait-1.0; 2.0,Qatar and Bahrain; Iraq and Kuwait-525.0; 420.0
2,3,2,13.0,2,14,65,116.04,Iraq and Kuwait; Saudi-Arabia,Iraq and Kuwait; Saudi-Arabia-2.0; 2.0,Iraq and Kuwait; Saudi-Arabia-420.0; 560.0
