Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
0,3,1,48.0,3,31,199,141.52,Southeast Asia; East Asia; Russland and Caucasus,Southeast Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Southeast Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
0,3,1,17.0,1,31,199,141.52,United Arab Emirates,United Arab Emirates-1.0,United Arab Emirates-525.0
0,3,1,48.0,3,31,199,141.52,Brazil; Brazil South; Brazil Southeast,Brazil; Brazil South; Brazil Southeast-1.0; 1.0; 1.0,Brazil; Brazil South; Brazil Southeast-625.0; 0.0; 0.0
1,3,1,48.0,3,31,145,143.0,Brazil; Brazil South; Brazil Southeast,Brazil; Brazil South; Brazil Southeast-1.0; 1.0; 1.0,Brazil; Brazil South; Brazil Southeast-625.0; 0.0; 0.0
1,3,1,47.0,3,31,145,143.0,South Asia; East Asia; Russland and Caucasus,South Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,South Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
1,3,1,33.0,2,31,145,143.0,New Zealand; Pacific,New Zealand; Pacific-2.0; 1.0,New Zealand; Pacific-490.0; 0.0
1,3,1,47.0,3,31,145,143.0,Central Asia; South Asia; Russland and Caucasus,Central Asia; South Asia; Russland and Caucasus-1.0; 1.0; 1.0,Central Asia; South Asia; Russland and Caucasus-350.0; 0.0; 0.0
1,3,1,33.0,2,31,145,143.0,New Zealand; Pacific,New Zealand; Pacific-2.0; 1.0,New Zealand; Pacific-490.0; 0.0
2,3,1,48.0,3,33,198,130.47,Southeast Asia; East Asia; Russland and Caucasus,Southeast Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Southeast Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
2,3,1,48.0,3,33,198,130.47,Central Asia; Southeast Asia; Russland and Caucasus,Central Asia; Southeast Asia; Russland and Caucasus-1.0; 1.0; 1.0,Central Asia; Southeast Asia; Russland and Caucasus-350.0; 0.0; 0.0
2,3,1,48.0,3,33,198,130.47,Southeast Asia; East Asia; Russland and Caucasus,Southeast Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Southeast Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
2,3,1,32.0,2,33,198,130.47,Indonesia; Sumatra and Java,Indonesia; Sumatra and Java-2.0; 1.0,Indonesia; Sumatra and Java-400.0; 0.0
2,3,1,33.0,2,33,198,130.47,United Arab Emirates; Israel,United Arab Emirates; Israel-1.0; 1.0,United Arab Emirates; Israel-525.0; 420.0
3,3,1,17.0,1,28,182,142.6,United Arab Emirates,United Arab Emirates-1.0,United Arab Emirates-525.0
3,3,1,48.0,3,28,182,142.6,Southeast Asia; East Asia; Russland and Caucasus,Southeast Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Southeast Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
