Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
0,1,3,-5.0,1,124,317,137.93,Bahamas  Turks and Caicos Islands,Bahamas  Turks and Caicos Islands-1.0,Bahamas  Turks and Caicos Islands-725.0
0,1,3,-8.0,1,124,317,137.93,Venezuela,Venezuela-1.0,Venezuela-390.0
0,1,3,-5.0,1,124,317,137.93,Vietnam and Cambodia,Vietnam and Cambodia-1.0,Vietnam and Cambodia-375.0
0,1,3,-4.0,1,124,317,137.93,Central Africa,Central Africa-2.0,Central Africa-500.0
1,1,3,41.0,3,133,232,407.31,Brazil Northeast; Brazil; Brazil Central West,Brazil Northeast; Brazil; Brazil Central West-1.0; 1.0; 1.0,Brazil Northeast; Brazil; Brazil Central West-0.0; 625.0; 0.0
2,1,3,23.0,2,128,377,280.97,North Korea; South Korea,North Korea; South Korea-1.0; 1.0,North Korea; South Korea-0.0; 490.0
2,1,3,-6.0,1,128,377,280.97,Nicaragua,Nicaragua-1.0,Nicaragua-250.0
3,1,3,-2.0,1,120,238,254.02,Cuba,Cuba-1.0,Cuba-350.0
3,1,3,-7.0,1,120,238,254.02,Israel,Israel-1.0,Israel-420.0
4,1,3,-5.0,1,139,340,251.65,Libya,Libya-1.0,Libya-500.0
4,1,3,-6.0,1,139,340,251.65,Pakistan,Pakistan-1.0,Pakistan-400.0
4,1,3,-4.0,1,139,340,251.65,Myanmar,Myanmar-2.0,Myanmar-450.0
4,1,3,-5.0,1,139,340,251.65,Polynesia,Polynesia-1.0,Polynesia-800.0
5,1,3,-9.0,1,133,302,159.38,East Africa,East Africa-2.0,East Africa-350.0
5,1,3,-3.0,1,133,302,159.38,Patagonia,Patagonia-2.0,Patagonia-625.0
6,1,3,48.0,3,134,241,196.74,Nepal; Pakistan; Maldives,Nepal; Pakistan; Maldives-1.0; 1.0; 1.0,Nepal; Pakistan; Maldives-0.0; 400.0; 0.0
7,1,3,23.0,2,131,281,129.95,Bhutan; Pakistan,Bhutan; Pakistan-1.0; 1.0,Bhutan; Pakistan-250.0; 400.0
7,1,3,-4.0,1,131,281,129.95,Myanmar,Myanmar-2.0,Myanmar-450.0
7,1,3,-4.0,1,131,281,129.95,Central Africa,Central Africa-2.0,Central Africa-500.0
8,1,3,-5.0,1,121,245,145.8,Greater Antilles without Cuba,Greater Antilles without Cuba-1.0,Greater Antilles without Cuba-575.0
8,1,3,18.0,2,121,245,145.8,Nepal; India,Nepal; India-1.0; 1.0,Nepal; India-0.0; 350.0
9,1,3,-2.0,1,123,261,132.99,Cuba,Cuba-1.0,Cuba-350.0
9,1,3,-5.0,1,123,261,132.99,Lebanon and Syria,Lebanon and Syria-1.0,Lebanon and Syria-350.0
9,1,3,-3.0,1,123,261,132.99,Borneo,Borneo-2.0,Borneo-460.0
9,1,3,-8.0,1,123,261,132.99,Eastern Europe,Eastern Europe-1.0,Eastern Europe-350.0
0,2,1,39.0,3,42,227,155.54,Near and Middle East; Central Asia; Russland and Caucasus,Near and Middle East; Central Asia; Russland and Caucasus-1.0; 1.0; 1.0,Near and Middle East; Central Asia; Russland and Caucasus-0.0; 350.0; 0.0
0,2,1,16.0,2,42,227,155.54,Australia; Pacific,Australia; Pacific-1.0; 1.0,Australia; Pacific-560.0; 0.0
1,2,1,16.0,2,42,192,155.23,Central Asia; Russland and Caucasus,Central Asia; Russland and Caucasus-1.0; 1.0,Central Asia; Russland and Caucasus-350.0; 0.0
2,2,1,15.0,2,42,288,151.12,Mexico; Mexico Pacific Coast,Mexico; Mexico Pacific Coast-1.0; 1.0,Mexico; Mexico Pacific Coast-375.0; 0.0
2,2,1,15.0,2,42,288,151.12,Mexico; Mexico Pacific Coast,Mexico; Mexico Pacific Coast-1.0; 1.0,Mexico; Mexico Pacific Coast-375.0; 0.0
2,2,1,16.0,2,42,288,151.12,Indonesia; Indonesian islands west of Lombok,Indonesia; Indonesian islands west of Lombok-2.0; 1.0,Indonesia; Indonesian islands west of Lombok-400.0; 0.0
2,2,1,15.0,2,42,288,151.12,Mexico; Mexico Pacific Coast,Mexico; Mexico Pacific Coast-1.0; 1.0,Mexico; Mexico Pacific Coast-375.0; 0.0
3,2,1,17.0,2,40,217,146.6,North Europe; British Islands,North Europe; British Islands-1.0; 1.0,North Europe; British Islands-0.0; 420.0
3,2,1,-8.0,1,40,217,146.6,USA,USA-1.0,USA-600.0
4,2,1,39.0,3,42,188,158.94,South Asia; East Asia; Russland and Caucasus,South Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,South Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
